wv_poly_lons,wv_poly_lats
-123.3166667,43.96798611
-123.3236806,43.975
-123.325,43.97631944
-123.3320139,43.98333333
-123.325,43.99034722
-123.3236806,43.99166667
-123.3166667,43.99868056
-123.3083333,43.99868056
-123.3070139,44.0
-123.3,44.00701389
-123.2916667,44.00701389
-123.2833333,44.00701389
-123.275,44.00701389
-123.2736806,44.00833333
-123.2666667,44.01534722
-123.2653472,44.01666667
-123.2583333,44.02368056
-123.2570139,44.025
-123.2583333,44.02631944
-123.2653472,44.03333333
-123.2666667,44.03465278
-123.275,44.03465278
-123.2833333,44.03465278
-123.2903472,44.04166667
-123.2903472,44.05
-123.2916667,44.05089454
-123.3,44.05089454
-123.3013194,44.05
-123.3083333,44.04298611
-123.3166667,44.04298611
-123.3236806,44.05
-123.3166667,44.05701389
-123.3157721,44.05833333
-123.3083333,44.06577213
-123.3074388,44.06666667
-123.3074388,44.075
-123.3083333,44.07589454
-123.3166667,44.07589454
-123.325,44.07589454
-123.3258945,44.075
-123.3263194,44.06666667
-123.3333333,44.05965278
-123.3346528,44.05833333
-123.3416667,44.05131944
-123.35,44.05131944
-123.3583333,44.05131944
-123.3666667,44.05131944
-123.3679861,44.05
-123.375,44.04298611
-123.3833333,44.04298611
-123.3916667,44.04298611
-123.4,44.04298611
-123.4083333,44.04298611
-123.4166667,44.04298611
-123.4236806,44.05
-123.4166667,44.05701389
-123.4083333,44.05701389
-123.4070139,44.05833333
-123.4,44.06534722
-123.3986806,44.06666667
-123.3916667,44.07368056
-123.3903472,44.075
-123.3833333,44.08201389
-123.375,44.08201389
-123.3679861,44.075
-123.3679861,44.06666667
-123.3666667,44.06534722
-123.3583333,44.06534722
-123.3570139,44.06666667
-123.3570139,44.075
-123.35,44.08201389
-123.3416667,44.08201389
-123.3407721,44.08333333
-123.3333333,44.09077213
-123.3324388,44.09166667
-123.325,44.09910546
-123.3241055,44.1
-123.3241055,44.10833333
-123.3241055,44.11666667
-123.3166667,44.12410546
-123.3083333,44.12410546
-123.3070139,44.125
-123.3070139,44.13333333
-123.3070139,44.14166667
-123.3070139,44.15
-123.3,44.15701389
-123.2986806,44.15833333
-123.2916667,44.16534722
-123.2903472,44.16666667
-123.2903472,44.175
-123.2903472,44.18333333
-123.2916667,44.18465278
-123.3,44.18465278
-123.3013194,44.18333333
-123.3083333,44.17631944
-123.3166667,44.17631944
-123.3179861,44.175
-123.325,44.16798611
-123.3333333,44.16798611
-123.3403472,44.175
-123.3403472,44.18333333
-123.3333333,44.19034722
-123.325,44.19034722
-123.3236806,44.19166667
-123.3166667,44.19868056
-123.3083333,44.19868056
-123.3070139,44.2
-123.3070139,44.20833333
-123.3,44.21534722
-123.2986806,44.21666667
-123.3,44.21798611
-123.3083333,44.21798611
-123.3166667,44.21798611
-123.3236806,44.225
-123.325,44.22549325
-123.3333333,44.22631944
-123.3403472,44.23333333
-123.3416667,44.23465278
-123.3486806,44.24166667
-123.3486806,44.25
-123.3416667,44.25701389
-123.3333333,44.25701389
-123.325,44.25701389
-123.3236806,44.25833333
-123.3166667,44.26534722
-123.3083333,44.26534722
-123.3070139,44.26666667
-123.3,44.27368056
-123.2986806,44.275
-123.2916667,44.28201389
-123.2903472,44.28333333
-123.2833333,44.29034722
-123.2763194,44.28333333
-123.275,44.28201389
-123.2666667,44.28201389
-123.2583333,44.28201389
-123.2570139,44.28333333
-123.25,44.29034722
-123.2416667,44.29034722
-123.2346528,44.28333333
-123.2333333,44.28201389
-123.225,44.28201389
-123.2236806,44.28333333
-123.2236806,44.29166667
-123.225,44.29298611
-123.2333333,44.29298611
-123.2403472,44.3
-123.2403472,44.30833333
-123.2403472,44.31666667
-123.2333333,44.32368056
-123.2320139,44.325
-123.2333333,44.32631944
-123.2403472,44.33333333
-123.2333333,44.34034722
-123.2320139,44.34166667
-123.2320139,44.35
-123.2320139,44.35833333
-123.2320139,44.36666667
-123.2333333,44.36798611
-123.2346528,44.36666667
